Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,color
61533,7/3/2013 21:45,crestline,oh,us,circle,420,5-7 minutes,Brilliant orange orb like object with flickering fiery tail fluctuating orange light&#44 nearly rocket like exhaust.,7/5/2013,40.7875000,-82.7366667,orange
61535,7/3/2013 21:45,indianapolis,in,us,chevron,300,5 minutes,Several boomerang shaped craft that started out like a huge bright red/orange ball of light&#44 diminished to an amber glow&#44 then to black,7/14/2013,39.7683333,-86.1580556,black
61536,7/3/2013 21:45,saint peters,mo,us,fireball,180,2-3 minutes,Two orange fireballs across they sky in St. Peters.,7/5/2013,38.8002778,-90.6263889,orange
61540,7/3/2013 22:05,moundsville,wv,us,oval,180,3:00 minutes,an oval twinkling light that turned orange and shot across the sky three times in a blue strek forming a triangular flight pattern&#44stop,7/5/2013,39.9202778,-80.7433333,orange
61543,7/3/2013 22:15,north platte,ne,us,circle,300,5 minutes,A large bright orange glowing ball floating silently above the trees.,7/5/2013,41.1238889,-100.765,orange
61545,7/3/2013 22:30,bendigo (australia),,au,light,30,30 seconds,Strange orange yellow light in sky.,7/5/2013,-36.758179,144.280243,orange
61546,7/3/2013 22:35,mundelein,il,us,triangle,60,1 minute,Bright glowing orange triangular shaped object gone transparent moving NE.,7/5/2013,42.2630556,-88.0038889,orange
61550,7/3/2013 23:30,fargo,nd,us,oval,120,2 minutes,Fuzzy orange oval shaped craft&#44 emitted four beams of light for 3-5 seconds.,7/5/2013,46.8772222,-96.7894444,orange
61552,7/4/1947 17:30,seattle,wa,us,oval,10,ten seconds,While walking in Woodland Park in Seattle&#44 Washington&#44 on July 4&#44 1947&#44 I looked up and saw a bright white oval object come down .,11/21/2010,47.6063889,-122.3308333,white
61554,7/4/1953 21:00,ogallala,ne,us,other,2700,30-45 minutes,Bright white light with no sound&#44 hovering&#44 very fast when leaving at Lake McConaughy,12/12/2009,41.1280556,-101.7191667,white
61560,7/4/1966 00:00,cape rosier,me,us,light,10800,hour?,glowing green ball moving across the horizon on July 4&#44 1966&#44 in Cape Rosier&#44 Maine,3/19/2009,44.3313889,-68.7994444,green
61570,7/4/1972 21:00,rehobeth beach (near),de,,disk,600,10 minutes,Hovering 25&#39 up&#44 middle section rotating clockwise and containing red&#44 yellow and (green?) lighted sections&#44 shot away fast&#44 no sound.,5/15/2013,38.720945,-75.076014,yellow
61575,7/4/1975 14:00,golden,co,us,sphere,15,15 seconds,Bright blue sphere emanating light appeared to move south and east across horizon.,10/11/2005,39.7555556,-105.2205556,blue
61579,7/4/1977 14:00,marley park,md,,sphere,60,1 minute,a glowing white (bright) object about 20 ft. in the air moving slow and coming at us and then it was gone .Gone so fast we didnt see it,10/30/2006,38.6021,-76.581765,white
61586,7/4/1978 21:00,reseda,ca,us,sphere,1200,15-20 minutes,The object appeared red like a brilliant ruby on July 4&#44 1978 about 9:00 PM&#44 and was witnessed by a few thousand people.,6/12/2008,34.2011111,-118.5355556,red
61593,7/4/1982 21:00,hermosa beach,ca,us,disk,300,5 minutes,This happend around nine o&#39clock&#44 my brother was watching the fire works when all of a sudden he went as white as a ghost&#44 my mother we,8/5/2001,33.8622222,-118.3986111,white
61604,7/4/1991 22:00,suisun city,ca,us,circle,1800,30min,A bright red ( round dot circle bubble luminous) UFO sphere splits into two&#44 then travels in opposite directions after splitting,1/10/2009,38.2383333,-122.0391667,red
61609,7/4/1993 23:45,tooele city,ut,,sphere,90,90 seconds,4 intense glowing green &quot;Stop-light&quot; type orbs holding tight diamond formation.  Not Fireworks...,6/18/1998,40.530778,-112.29828,green
61612,7/4/1995 00:00,bremerton,wa,us,light,300,5 minutes,3 to 7 red lights in the night sky&#44 moving independantly of eachother. Many miles away at a 60 degree angle from horizon.,4/2/1999,47.5675000,-122.6313889,red
61614,7/4/1995 20:50,woodlake,ca,us,cylinder,60,one minute,Sighted a large tank like object with red and green lights between two foothill peaks  near a lake and was gone next day.,1/11/2002,36.4136111,-119.0977778,red
61615,7/4/1995 21:30,orlando,fl,us,,300,4-5 min,5 witnesses report 3 yellow oval lights the size of venus passing over Orlando.  Faster than aircraft but slower than shooting star.,11/2/1999,28.5380556,-81.3794444,yellow
61618,7/4/1996 12:00,south amboy,nj,us,triangle,120,2 minutes,It was a ball of white light that changed to triangular red and blue lights and then again to a ball of red light.,12/2/2000,40.4777778,-74.2911111,white
61620,7/4/1996 22:00,wilmington,nc,us,triangle,60,1 minute,My wife and I were stargazing on a beautiful clear night when we spotted a red triangle flying,8/12/2008,34.2255556,-77.945,red
61629,7/4/1997 20:00,knob lick,mo,us,light,3,3 seconds,I was sitting at the closing campfire at S-F scout ranch. about mid way through my self and everyone else there saw a brillient blue li,9/26/1998,37.6752778,-90.3672222,blue
61631,7/4/1997 20:30,st. charles,mo,us,light,5,5 seconds,We were at a local fireworks display.  Just before dusk&#44 I looked up in the sky with my son and saw a large green object shooting acros,9/26/1998,38.7838889,-90.4811111,green
61633,7/4/1997 21:00,millstadt,il,us,light,5,5 seconds,MISSOURI INVESTIGATORS GROUP Report:  We were in the back yard in IL (USA) and we saw a blue light right at the roofline.,12/12/2009,38.4613889,-90.0916667,blue
61634,7/4/1997 21:00,phoenix,az,us,cylinder,180,2-3 min,a large black object kind of like a shadow passed over head while we were waiting for the fire works to start,5/14/2002,33.4483333,-112.0733333,black
61635,7/4/1997 21:00,troy,il,us,light,4,3-4 seconds,large blue light silently travelling across the sky in a purposeful manner.,7/5/2005,38.7291667,-89.8830556,blue
61636,7/4/1997 21:10,lonedell,mo,us,delta,60,60 seconds,Ice blue object&#44 resembling an &quot;<&quot; flying south to north,9/26/1998,38.3080556,-90.8275,blue
61637,7/4/1997 21:15,coldwater (approx. 3 miles se of),mo,us,light,4,3-4  seconds,Blue/Green light with a white trailing tail traveling East to West,9/26/1998,37.3033333,-90.4097222,white
61638,7/4/1997 21:15,des peres,mo,us,light,180,3 min,I was getting ready to go to a friends house. Me and my friend noticed that there was a strange blue glow that illuminated us to the po,6/4/2004,38.6008333,-90.4327778,blue
61641,7/4/1997 21:15,mark twain lake&#44 monroe city,mo,,light,15,15 seconds,Adults + children sitting on lake bank awaiting fireworks&#44see a bright blue ball streak fast across skyline&#44 decend andseemingly to go,9/26/1998,39.509255,-91.768487,blue
61644,7/4/1997 21:15,scottsdale,az,us,,900,approx 15 min,A bright red object was seen traveling from west Phoenix to east TempeSpeed was slow (probably too slow for most aircraft)&#44 it also app,7/17/2011,33.5091667,-111.8983333,red
61646,7/4/1997 21:15,st. charles (outside of st. louis),mo,us,sphere,5,5 seconds,St. Charles&#44 MO&#44 before fireworks show. A blue ball (??) of lightstreaked across the sky&#44 I&#39d say east to west. There was no noise.It j,9/26/1998,38.7838889,-90.4811111,blue
61655,7/4/1997 21:30,florissant,mo,us,light,10,10 secs ?,bright blue and white light traveling across the sky from east to west.,9/26/1998,38.7891667,-90.3225,blue
61657,7/4/1997 21:30,gerald,mo,us,light,10,5 to 10 sec.,A brite blue light appeared out of nowhere. And shot across the sky.,9/26/1998,38.3997222,-91.3305556,blue
61661,7/4/1997 21:30,st. louis,mo,us,light,1,~1 sec,~21:30 4 July&#44 a blue light moving in a straight line passed from east to west over the Mississippi river. Duration of event was ~1 sec,9/26/1998,38.6272222,-90.1977778,blue
61664,7/4/1997 21:35,fairview heights,il,us,light,2,2 seconds,A blue light seen overhead moving east to west&#44very fast.It was not fireworks.,9/26/1998,38.5888889,-89.9902778,blue
61665,7/4/1997 21:35,millstadt,il,us,light,3,3 sec,blue light traveling due west ended in red flash appeared to be close overhead. I think it was space junk or meteor due to similar sigh,9/26/1998,38.4613889,-90.0916667,blue
61666,7/4/1997 21:40,collinsville,il,us,light,4,3-4 seconds,A blue light streaked across the sky at high speed for a couple seconds.  It was accompained by a crackling of burning sound.,9/26/1998,38.6702778,-89.9844444,blue
61667,7/4/1997 21:45,belleville community college,il,,light,5,3 to 5 sec,During fire works display the blue object moved in the southern sky from east to west. Most people my have taken it for a miss fired fi,9/26/1998,38.51759,-89.928972,blue
61668,7/4/1997 21:45,brighton,il,us,light,10,10 seconds,While shooting fireworks&#44 saw a bright blue object move horizontilly from east to west across the field in the back of the house.,9/26/1998,39.0397222,-90.1405556,blue
61669,7/4/1997 21:45,desoadoamd house springs,mo,,light,120,2 mins both times,it was a bright blue light in the sky thta was flying slowlyand then it just shot off &#44the corlos changed blue to green and desaperad.,11/20/2002,38.408943,-90.570125,blue
61674,7/4/1997 22:00,dupo,il,us,light,10,10 seconds,Flying object beamed a large blue light across the ground as the object moved from south to north .  We were directly in the path of th,9/26/1998,38.5161111,-90.2102778,blue
61682,7/4/1997 22:30,columbia,il,us,light,2,2 seconds,Neon light blue ball passing east to west across the sky,9/26/1998,38.4436111,-90.2011111,blue
61683,7/4/1997 22:30,frontenac,mo,us,light,5,5 seconds,A streak of greenish and white light across the sky,5/14/2002,38.6355556,-90.415,white
61684,7/4/1997 22:30,st. louis (st. ann),mo,us,light,30,30 sec. ??,July 4&#44 around 10:30pm. Shooting fireworks w/children in backyard. Instantainous bright blue light in sky caught my eye. As I turned to,9/26/1998,38.6272222,-90.1977778,blue
61686,7/4/1997 23:00,st. louis (pacific),mo,us,light,3,3 sec,a blue light appeared suddenly and dtreaked across the sky and the flew up for a short peroid of time and then vanished From - Tue Jul,9/26/1998,38.6272222,-90.1977778,blue
61692,7/4/1998 23:00,huntsville,al,us,light,600,5-10 min.,I was at work when I noticed what appeared to be a tower which was southeast from my location.It had a red flashing light on the top an,6/23/1999,34.7302778,-86.5861111,red
61696,7/4/1999 15:30,sacramento,ca,us,other,480,8 minutes,I seen something floating down from the sky i though it was a big piece of plastic it was white and wobbling i lost it when it fell bel,7/5/1999,38.5816667,-121.4933333,white
61697,7/4/1999 21:00,arcadia,ca,us,,480,5-8 minutes,Bright red light in sky. Hovered&#44 soundless&#44 in same position. Ruled out it was a helicopter&#44 or blimp due to lack of sound. Same place,8/10/1999,34.1397222,-118.0344444,red
61698,7/4/1999 21:00,pine ridge,sd,us,light,20,15-20 secs,steady light yellow orangish light moving from southwest to middle of the night sky turning sharp and headed due north.,3/6/2001,43.0255556,-102.5558333,yellow
61700,7/4/1999 21:30,lackawanna,ny,us,diamond,1800,30 minutes,Diamond shaped object of red tint hovered then moved in a north to south direction.,11/2/1999,42.8255556,-78.8236111,red
61701,7/4/1999 21:30,lackawanna,ny,us,other,300,5 min,3 different objects.  one flash of red light bouncing across sky. one triangular shape spinning then jumped in a right angle.  one wa 2,9/28/2002,42.8255556,-78.8236111,red
61703,7/4/1999 21:50,little rock,ar,us,light,60,1 min,A red light (not blinking&#44 a saucer-like object&#44 flying toward the fireworks of the 4th of July (infact we thought at first it was a fi,8/10/1999,34.7463889,-92.2894444,red
61707,7/4/1999 23:00,mount pleasant,sc,us,cigar,10,10 sec,Hazy orange glow moving perpendicular to long cigar-shaped axis.  Moved rapidly across sky.,7/14/1999,32.7938889,-79.8627778,orange
61717,7/4/2000 21:00,windsor heights,ia,us,light,3600,hour,We saw a bright red light during a fireworks display in Des Moines.,12/2/2000,41.5977778,-93.7080556,red
